building_id,date,lease_cost,total_operating_expense,energy_costs,utilities_costs,maintenance_costs,catering_costs,cleaning_costs,security_costs,insurance_costs,waste_disposal_costs,other_costs
B002,01/10/2023,43649,65617,5349,6679,3266,972,1777,2253,2941,1291,2789
B002,01/11/2023,43649,72734,9204,10844,3026,1885,3501,3613,2342,1869,2005
B002,01/12/2023,43649,71776,9023,10280,1685,1965,3610,4468,2404,1793,1922
B002,01/01/2024,44664,69857,7979,9740,3656,646,2299,4119,1956,800,1977
B002,01/02/2024,44664,63052,6819,7764,1193,676,2179,2157,1528,1338,1553
B002,01/03/2024,44664,67663,6865,8428,1562,615,2743,2905,2526,1922,2298
B002,01/04/2024,44664,68639,8486,10422,2549,941,1310,3921,2087,1674,1071
B002,01/05/2024,44664,60308,2931,3446,2371,719,2836,2551,1842,1207,672
B002,01/06/2024,44664,65741,8989,10090,1445,731,1901,2288,2328,1020,1274
B002,01/07/2024,44664,60961,2281,2676,1491,1495,2603,2812,2627,817,1776
B002,01/08/2024,44664,66568,3557,3981,2810,1876,2545,4344,2429,1679,2240
B002,01/09/2024,44664,66937,3536,4163,3290,1802,3029,4612,1916,1494,1967
B002,01/10/2024,44664,65332,4033,4532,4631,1099,2458,2751,2347,1506,1344
B002,01/11/2024,44664,65038,4586,5626,3189,1189,3395,2093,1971,658,2253
B002,01/12/2024,44664,65467,3760,4311,3520,1049,3852,2464,1898,972,2737
B002,01/01/2025,45679,65317,2298,2688,3956,857,3271,4409,1534,503,2420
B003,01/01/2020,0,19422,6141,7554,1515,1176,2364,2049,2528,1289,947
B003,01/02/2020,0,19815,4943,5685,1306,674,2166,4543,2208,1277,1956
B003,01/03/2020,0,18966,2491,2974,3597,1392,2588,4702,1400,783,1530
B003,01/04/2020,0,30885,9802,10911,4348,1728,3037,3884,2895,1117,2965
B003,01/05/2020,0,26023,8821,9947,2743,1352,3209,4005,2068,1020,1679
B003,01/06/2020,0,21392,3638,4132,3342,1769,3311,4511,1324,1340,1663
B003,01/07/2020,0,27293,9366,11700,4501,1516,2366,3027,1040,1529,1614
B003,01/08/2020,0,22541,3765,4388,4872,1858,2489,4513,1319,1713,1389
B003,01/09/2020,0,23332,6343,7554,2564,1734,1814,3074,2332,1469,2791
B003,01/10/2020,0,28385,9392,11008,3297,987,2418,3412,2924,1381,2958
B003,01/11/2020,0,14790,2409,2778,1140,1019,1877,3541,2267,1547,621
B003,01/12/2020,0,23412,2294,2834,4965,1657,2181,4507,2454,1824,2990
B003,01/01/2021,0,29956,9578,11566,3185,1934,3967,2306,2717,1662,2619
B003,01/02/2021,0,27170,9643,11277,2098,1869,1444,3488,2556,1605,2833
B003,01/03/2021,0,19158,5101,5941,1207,1074,3231,3269,2473,1115,848
B003,01/04/2021,0,16812,2988,3719,2106,1917,1561,3926,1962,650,971
B003,01/05/2021,0,27042,8165,9862,2527,1948,3898,4148,2524,1085,1050
B003,01/06/2021,0,23588,4521,5512,3885,1757,3963,2598,2036,1455,2382
B003,01/07/2021,0,17378,4294,5239,2059,1016,1194,3026,1973,1881,990
B003,01/08/2021,0,27158,8884,10888,4351,1304,2070,2686,2184,825,2850
B003,01/09/2021,0,22324,4218,5005,4035,1488,2610,4037,2149,1047,1953
B003,01/10/2021,0,25358,6199,7099,4733,1248,2920,4920,1213,1662,1563
B003,01/11/2021,0,18605,3456,4259,3180,696,3769,2233,2779,1035,654
B003,01/12/2021,0,30447,9547,11779,4139,1952,2210,3935,2626,980,2826
B003,01/01/2022,0,16766,3877,4488,1377,1422,3637,2030,1042,899,1871
B003,01/02/2022,0,20878,6068,7548,1671,660,3842,2447,1698,1079,1933
B003,01/03/2022,0,23383,6668,7890,2526,1490,3966,2474,2353,755,1929
B003,01/04/2022,0,22656,8446,9677,2528,636,1769,2296,2467,1310,1973
B003,01/05/2022,0,24478,9548,11871,2277,1106,1831,2866,2552,772,1203
B003,01/06/2022,0,20333,4710,5409,2205,1729,2028,3811,2229,1199,1723
B003,01/07/2022,0,25140,8857,10508,2780,1651,1383,2450,2549,1102,2717
B003,01/08/2022,0,23820,7324,8194,4630,693,2527,2450,2089,1188,2049
B003,01/09/2022,0,25666,8498,9445,4481,1585,1989,2382,1823,1441,2520
B003,01/10/2022,0,25260,8370,9878,1258,1885,3433,3691,2368,1244,1503
B003,01/11/2022,0,17729,2497,2934,3623,1388,1352,2601,2398,1570,1863
B003,01/12/2022,0,19761,3651,4425,1488,1719,3828,3779,1412,762,2348
B003,01/01/2023,0,27792,9820,11370,3295,1515,2479,4062,1508,1245,2318
B003,01/02/2023,0,20779,4877,5845,3818,1976,3036,2611,1669,668,1156
B003,01/03/2023,0,25222,6847,7972,4096,1810,3775,2870,2352,1818,529
B003,01/04/2023,0,27173,9485,11678,4818,1866,2368,2867,1644,1369,563
B003,01/05/2023,0,19097,6300,7166,4146,958,2063,2095,1445,501,723
B003,01/06/2023,0,25188,5102,5721,4603,1141,3545,4636,2331,949,2262
B003,01/07/2023,0,22787,6655,7858,2969,500,1262,4560,1876,1334,2428
B003,01/08/2023,0,23288,6694,7774,4504,1849,1208,2406,2237,1414,1896
B003,01/09/2023,0,26779,5598,6939,4833,1785,3029,4949,2004,1563,1677
B003,01/10/2023,0,22010,3244,3763,2547,620,3830,4606,2667,983,2994
B003,01/11/2023,0,16161,2212,2684,1483,503,1508,4262,2891,1657,1173
B003,01/12/2023,0,19267,5212,6276,1480,783,3793,2926,2195,841,973
B003,01/01/2024,0,21173,4740,5904,4600,1464,1537,3332,1161,1420,1755
B003,01/02/2024,0,22934,6473,7387,3315,855,1385,4484,2879,1898,731
B003,01/03/2024,0,22482,7525,8529,1120,1793,2512,4910,2229,726,663
B003,01/04/2024,0,18846,3870,4616,4127,1850,1376,2242,2072,520,2043
B003,01/05/2024,0,20719,3933,4563,2867,1048,2373,4623,1148,1143,2954
B003,01/06/2024,0,22125,5716,6370,3308,554,2156,3683,2324,1060,2670
B003,01/07/2024,0,22425,3910,4777,4786,1123,1876,4632,1842,716,2673
B003,01/08/2024,0,20156,5688,6989,1183,1121,1750,2752,2969,1911,1481
B003,01/09/2024,0,18944,3187,3631,2224,1436,2793,4785,1711,787,1577
B003,01/10/2024,0,16810,2187,2438,1058,630,2411,4606,2679,1069,1919
B003,01/11/2024,0,25670,8474,9927,2293,724,3973,4028,2269,870,1586
B003,01/12/2024,0,21106,5490,6282,2871,605,3902,2374,2816,635,1621
B003,01/01/2025,0,25124,5478,6313,4119,1618,3509,3161,1841,1653,2910
B004,01/01/2020,12483,36683,4593,5703,3446,915,3498,4830,1367,1820,2621
B004,01/02/2020,12483,36244,6477,7703,3000,1025,3362,4270,1455,1205,1741
B004,01/03/2020,12483,33811,4478,5214,3292,1968,2502,2971,2407,791,2183
B004,01/04/2020,12483,29754,4309,5019,1635,743,2587,2504,2512,532,1739
B004,01/05/2020,12483,31359,3462,3891,2202,1385,1616,4794,1203,1213,2572
B004,01/06/2020,12483,30035,3071,3739,2186,1322,1787,4654,1486,952,1426
B004,01/07/2020,12483,30501,3277,3738,3448,905,2303,3243,1559,1912,910
B004,01/08/2020,12483,30598,3004,3478,4967,556,1810,4059,1277,865,1103
B004,01/09/2020,12483,35112,5845,6765,3486,1318,3366,3034,2246,712,1702
B004,01/10/2020,12483,35497,6776,8384,3715,1705,1442,3139,1319,1670,1640
B004,01/11/2020,12483,38107,5400,6359,4862,1184,2147,3506,2998,1815,2753
B004,01/12/2020,12483,35467,5378,6485,4395,677,3033,3098,1868,726,2702
B004,01/01/2021,12795,37775,8159,9917,1305,1779,1557,4502,1699,1785,2436
B004,01/02/2021,12795,37354,7754,8679,2355,1674,3461,4053,2188,1183,966
B004,01/03/2021,12795,36013,7310,8620,4373,1472,1802,2047,1288,1393,2223
B004,01/04/2021,12795,32391,2278,2541,4003,1807,2738,2340,2791,827,2549
B004,01/05/2021,12795,35719,8169,10127,1531,1548,3612,2694,1066,1399,947
B004,01/06/2021,12795,38289,7490,8344,4852,1431,3554,2697,1610,1521,1485
B004,01/07/2021,12795,31135,2975,3545,2837,1672,2061,2491,1896,842,2996
B004,01/08/2021,12795,35990,8567,10021,1266,886,3985,2354,2584,1125,974
B004,01/09/2021,12795,33028,2749,3213,2069,1836,3779,3950,1627,807,2952
B004,01/10/2021,12795,34555,5444,6784,4742,1628,2035,3052,1320,1225,974
B004,01/11/2021,12795,33069,4993,5851,3980,543,2503,3290,2015,865,1227
B004,01/12/2021,12795,31812,4114,4848,3070,1897,1811,2861,1821,1419,1290
B004,01/01/2022,13107,34433,5409,6309,2905,982,3656,3767,1718,1426,563
B004,01/02/2022,13107,39602,8189,9727,4105,1955,2638,2890,2015,761,2404
B004,01/03/2022,13107,29586,2677,3060,2943,1358,1268,2808,2390,1976,676
B004,01/04/2022,13107,39875,9585,11752,2469,1713,3080,3803,1703,1016,1232
B004,01/05/2022,13107,34563,6531,7918,3006,934,3156,2197,1519,1722,1004
B004,01/06/2022,13107,35485,7247,8200,2006,1618,2239,3018,2222,652,2423
B004,01/07/2022,13107,31242,4279,5190,3193,1458,1291,2548,1113,1144,2198
B004,01/08/2022,13107,35370,8067,9534,2346,989,1103,4218,2468,646,959
B004,01/09/2022,13107,36242,8049,9003,1852,842,1679,4396,1986,1892,1485
B004,01/10/2022,13107,39406,6865,8558,3387,1808,3442,3802,2854,847,1601
B004,01/11/2022,13107,38234,8244,10116,2928,1198,2127,2752,2416,1353,2237
B004,01/12/2022,13107,39008,7503,8566,2686,565,3307,4077,2593,1720,2387
B004,01/01/2023,13419,33602,2898,3350,3218,1732,1153,4716,2708,1598,1708
B004,01/02/2023,13419,37681,9526,11422,2965,612,1315,4737,1285,508,1418
B004,01/03/2023,13419,35015,4514,5076,3659,1971,2823,4048,2143,1031,845
B004,01/04/2023,13419,32977,2212,2755,3535,1403,2244,3788,2323,716,2794
B004,01/05/2023,13419,40899,5791,6537,4420,1921,3155,4671,2663,1340,2773
B004,01/06/2023,13419,37375,7912,9471,2787,1531,1969,3076,2685,1704,733
B004,01/07/2023,13419,37211,9259,11483,1022,1858,1533,3672,1541,552,2131
B004,01/08/2023,13419,32533,3247,3705,3849,800,1811,2924,1355,1833,2837
B004,01/09/2023,13419,35897,8130,9039,2979,745,2950,2740,1230,1101,1694
B004,01/10/2023,13419,36422,5381,6484,4538,1083,3216,3088,2441,1320,833
B004,01/11/2023,13419,36810,6233,6948,1330,1376,3792,4161,1370,1894,2520
B004,01/12/2023,13419,33492,4822,5655,3177,1293,3362,2132,1486,1575,1393
B004,01/01/2024,13731,31409,3991,4551,2641,1236,1047,2128,2398,1560,2117
B004,01/02/2024,13731,35596,7068,8432,3392,1688,2349,2033,1606,710,1655
B004,01/03/2024,13731,35997,5530,6323,3247,1123,3068,2714,2262,1016,2513
B004,01/04/2024,13731,33513,6079,6911,2001,508,1638,4836,2315,552,1021
B004,01/05/2024,13731,30061,2603,2976,3976,1974,1153,2335,1024,1203,1689
B004,01/06/2024,13731,33738,4513,5125,2746,966,3278,3944,1281,1033,1634
B004,01/07/2024,13731,31284,2934,3476,1014,583,3293,3365,2060,1646,2116
B004,01/08/2024,13731,31024,2710,3019,2637,784,1702,4772,2161,991,1227
B004,01/09/2024,13731,34767,3381,3867,2706,1227,3985,4553,2270,888,1540
B004,01/10/2024,13731,43500,8732,10786,4138,1075,3159,4243,1643,1861,2864
B004,01/11/2024,13731,30919,4439,5133,2743,502,1871,2811,1567,579,1982
B004,01/12/2024,13731,34613,7327,8468,1882,769,2657,2083,2664,840,1519
B004,01/01/2025,14043,37601,7833,8956,2970,1271,2918,2249,1735,1812,1647
B005,01/01/2020,35672,63509,8001,9120,2729,1967,3561,4248,2057,1332,2823
B005,01/02/2020,35672,56137,4211,4861,2219,809,3346,3721,2807,1576,1126
B005,01/03/2020,35672,60944,9034,10485,1679,1162,2040,3453,2884,1328,2241
B005,01/04/2020,35672,54481,5501,6746,1925,1115,1249,2174,2808,1449,1343
B005,01/05/2020,35672,54282,3841,4315,3972,534,1018,3476,2995,1342,958
B005,01/06/2020,35672,59256,7737,8705,2414,1862,1924,3276,1656,924,2823
B005,01/07/2020,35672,55202,2962,3532,3554,918,2778,4659,2396,788,905
B005,01/08/2020,35672,57621,4636,5658,3903,1033,3513,4332,1493,515,1502
B005,01/09/2020,35672,57688,3208,3933,4299,1817,1368,4703,2326,785,2785
B005,01/10/2020,35672,56877,6073,7421,1273,1366,3016,2152,2123,1917,1937
B005,01/11/2020,35672,55906,6502,7875,2839,648,1183,4161,1637,1230,661
B005,01/12/2020,35672,61001,6579,7982,3581,860,3974,3476,1936,1645,1875
B005,01/01/2021,36563,59896,6743,7945,1429,1582,1579,4789,1367,1977,2665
B005,01/02/2021,36563,55503,4574,5185,2200,1108,2333,3374,2049,1257,1434
B005,01/03/2021,36563,57332,9080,10169,1035,849,1154,3275,1507,703,2077
B005,01/04/2021,36563,63572,8290,10286,4697,855,1344,4856,2958,1407,606
B005,01/05/2021,36563,58254,5647,6635,2643,1034,2805,4486,1456,1451,1181
B005,01/06/2021,36563,60180,7323,8377,4274,626,2814,4253,1967,540,766
B005,01/07/2021,36563,56737,2777,3181,3500,1682,3955,3387,1871,1923,675
B005,01/08/2021,36563,58919,9126,10676,3706,769,1689,2618,1306,959,633
B005,01/09/2021,36563,64003,6749,8132,2607,1932,3579,4170,2903,1490,2627
B005,01/10/2021,36563,56091,2187,2494,2382,1026,3328,4669,1766,1917,1946
B005,01/11/2021,36563,62662,8354,10258,3072,1231,3721,4767,1602,931,517
B005,01/12/2021,36563,61308,9150,11253,2040,896,1936,4588,1573,660,1799
B005,01/01/2022,37455,57659,3869,4342,3745,1285,3422,2614,2527,1302,967
B005,01/02/2022,37455,56438,4327,5075,1758,762,2355,3183,2239,1757,1854
B005,01/03/2022,37455,55653,3039,3626,4242,1811,1371,3691,1118,1823,516
B005,01/04/2022,37455,56048,3614,4488,3377,1354,2029,3898,2083,812,552
B005,01/05/2022,37455,59167,6792,8222,2241,753,1927,2249,2189,1553,2578
B005,01/06/2022,37455,56558,2095,2395,2036,1968,2988,4290,1109,1877,2440
B005,01/07/2022,37455,63748,8515,10264,4863,1170,2298,2735,2312,1273,1378
B005,01/08/2022,37455,57467,3086,3630,3320,561,1767,4573,2435,1500,2226
B005,01/09/2022,37455,59315,4578,5297,3552,1288,2371,4886,1288,701,2477
B005,01/10/2022,37455,58041,6841,8465,2624,1309,1675,2443,1304,1026,1740
B005,01/11/2022,37455,61922,6451,7696,4302,1505,3302,2546,1435,1673,2008
B005,01/12/2022,37455,58422,4881,5484,1596,1292,3439,4863,1246,1627,1420
B005,01/01/2023,38347,58645,4485,5062,3020,1799,1414,4692,1591,1200,1520
B005,01/02/2023,38347,63724,8575,9758,4363,1427,2275,2215,1408,1967,1964
B005,01/03/2023,38347,57852,2810,3512,4876,1772,1185,3741,1737,1197,1485
B005,01/04/2023,38347,64252,9595,11220,4214,1586,1024,2104,2829,721,2207
B005,01/05/2023,38347,60230,6501,7958,1751,1486,3164,3435,1369,686,2034
B005,01/06/2023,38347,58914,3601,4134,3279,1947,1751,4665,1796,1388,1607
B005,01/07/2023,38347,63233,7474,9119,3779,1188,2328,4032,1041,1856,1543
B005,01/08/2023,38347,58038,4674,5619,1131,853,1847,4913,1773,1607,1948
B005,01/09/2023,38347,58263,4925,6000,3535,1051,2102,2213,2942,1080,993
B005,01/10/2023,38347,59131,5448,6376,1180,1911,2417,4347,2355,1462,736
B005,01/11/2023,38347,59527,3655,4209,4820,543,2540,2189,2783,1273,2823
B005,01/12/2023,38347,57828,4472,5107,3030,573,2741,3071,1597,1637,1725
B005,01/01/2024,39239,62784,6828,7856,4495,1435,1655,2350,2089,1996,1669
B005,01/02/2024,39239,62287,4237,5290,3973,1641,3885,4227,1318,1717,997
B005,01/03/2024,39239,65235,6902,7811,4147,800,2751,3454,2836,1914,2283
B005,01/04/2024,39239,57252,2699,3091,3147,1093,3005,2514,2399,1414,1350
B005,01/05/2024,39239,63670,7253,8858,2266,1576,1373,4352,2303,1805,1898
B005,01/06/2024,39239,64601,7315,8864,2723,575,3298,4540,1650,1243,2469
B005,01/07/2024,39239,59363,2544,2832,3173,928,3206,3710,2456,1635,2184
B005,01/08/2024,39239,62841,7456,9260,3229,1324,1572,4929,1488,1109,691
B005,01/09/2024,39239,64082,5544,6697,2344,1279,2544,4897,2574,1791,2717
B005,01/10/2024,39239,63015,8229,9452,2301,583,2021,4635,1246,1415,2123
B005,01/11/2024,39239,55961,2300,2656,3657,1154,2823,3650,1351,686,745
B005,01/12/2024,39239,62384,7232,8854,1898,842,2738,4561,1397,1580,1275
B005,01/01/2025,40131,65163,7515,8641,1078,1587,3539,4882,2725,1502,1078
B006,01/01/2020,0,12616,2254,2525,1140,588,1506,3445,1664,1016,732
B006,01/02/2020,0,21162,4366,5012,1964,1701,3390,2637,1894,1966,2598
B006,01/03/2020,0,18005,2687,3089,2533,1449,2673,2780,2819,821,1841
B006,01/04/2020,0,27191,7594,8954,4212,1787,3531,4737,1458,592,1920
B006,01/05/2020,0,23803,8344,10223,4973,664,1818,2285,1055,1381,1404
B006,01/06/2020,0,21007,7189,8907,1372,828,1282,3281,1525,1648,2164
B006,01/07/2020,0,17810,2994,3373,3212,1519,1171,4056,1862,1885,732
B006,01/08/2020,0,17400,3123,3611,1723,1295,2872,2438,2174,1167,2120
B006,01/09/2020,0,17337,2426,2788,1227,719,2859,4759,2158,1671,1156
B006,01/10/2020,0,20204,6130,7227,1843,657,1308,3862,2976,1234,1097
B006,01/11/2020,0,24339,7790,9177,4329,1601,1450,2063,2433,670,2616
B006,01/12/2020,0,19864,7334,8244,1321,834,1473,3557,1560,927,1948
B006,01/01/2021,0,24945,8554,9742,2430,732,3932,2555,1811,1046,2697
B006,01/02/2021,0,20855,2216,2608,4996,1604,3144,3603,1901,528,2471
B006,01/03/2021,0,29802,9481,10635,3939,1193,3959,3903,1932,1288,2953
B006,01/04/2021,0,24469,6499,7429,3097,1197,3538,3548,2330,1566,1764
B006,01/05/2021,0,21001,8118,9425,1336,1167,1392,3667,1595,1740,679
B006,01/06/2021,0,27537,8506,10392,3995,1377,2153,4164,2987,1015,1454
B006,01/07/2021,0,25901,9765,11714,1294,1374,1264,4906,2217,895,2237
B006,01/08/2021,0,29308,7817,9334,4582,1186,3144,4776,1735,1933,2618
B006,01/09/2021,0,19820,3748,4452,2771,1041,3987,3531,1545,834,1659
B006,01/10/2021,0,23302,6761,8374,3428,1805,2976,2639,1597,572,1911
B006,01/11/2021,0,23659,5542,6541,4666,1943,3017,2006,2355,681,2450
B006,01/12/2021,0,22730,6812,7690,3624,1603,1442,3221,1718,1825,1607
B006,01/01/2022,0,24387,8880,10479,4096,1208,1323,3140,1521,1223,1397
B006,01/02/2022,0,24073,6751,8297,4339,1720,1904,3571,1784,1563,895
